Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Lithuania,2021,155th,38.7,2.8,3.0,3.3,3.7,4.1,5.2,1.5,3.7,2.2,3.4,1.8,4.0
Mauritius,2021,156th,38.1,1.2,3.2,4.4,5.4,2.7,4.2,2.1,3.2,3.6,2.9,1.7,3.5
Malta,2021,157th,36.2,2.4,2.0,2.7,4.0,2.0,3.7,3.1,2.4,3.3,3.7,3.8,3.1
Uruguay,2021,158th,35.9,4.2,2.7,2.4,4.4,3.3,3.6,0.5,3.8,3.0,3.4,1.9,2.7
South Korea,2021,159th,32.5,2.1,3.9,2.3,1.9,2.2,3.5,3.0,2.2,3.1,2.3,1.6,4.4
France,2021,159th,32.5,3.5,1.9,6.4,4.2,3.0,2.1,0.9,1.8,1.2,3.9,2.7,0.9
Japan,2021,161st,32.2,1.8,2.6,2.5,3.7,1.9,2.9,0.5,1.8,3.0,5.7,3.2,2.6
Belgium,2021,162nd,31.0,2.6,4.4,4.1,4.6,2.1,2.5,0.8,2.5,0.6,4.0,2.3,0.5
Slovenia,2021,163rd,28.2,0.5,2.0,3.6,3.4,2.4,3.6,1.9,2.4,1.1,3.4,2.8,1.1
Portugal,2021,164th,26.8,0.5,2.5,1.3,4.8,2.0,2.8,0.8,2.9,1.1,3.3,1.8,3.0
Singapore,2021,165th,26.6,0.7,4.0,2.2,1.6,3.0,1.9,3.7,1.5,4.5,2.1,0.7,0.7
Austria,2021,166th,26.1,1.6,3.2,3.9,1.8,2.3,1.6,0.6,2.3,0.5,3.4,4.4,0.5
Germany,2021,167th,24.8,2.3,2.3,4.0,1.8,2.5,2.0,0.5,2.0,0.8,2.1,4.0,0.5
Netherlands,2021,168th,24.1,2.2,3.4,3.6,2.2,1.6,2.4,0.5,1.3,0.7,3.1,2.6,0.5
Ireland,2021,169th,22.2,2.7,1.5,0.5,2.7,1.6,2.8,0.5,2.5,1.6,2.8,1.4,1.6
Australia,2021,170th,21.8,2.7,1.7,3.1,1.6,1.8,0.5,0.5,2.8,1.7,2.9,2.0,0.5
Canada,2021,171st,21.7,2.8,2.5,2.2,2.0,2.3,1.1,0.5,2.3,1.3,2.0,2.2,0.5
Sweden,2021,172nd,21.4,2.7,1.8,1.7,1.9,1.7,0.7,0.5,1.4,0.9,3.3,4.3,0.5
Luxembourg,2021,173rd,21.1,0.7,3.4,2.1,2.6,1.4,1.6,0.5,1.9,1.1,2.8,2.5,0.5
Switzerland,2021,174th,19.9,1.6,1.0,2.7,2.0,1.8,1.1,0.5,1.6,0.8,3.2,3.1,0.5
Denmark,2021,175th,18.8,1.7,1.4,3.7,1.7,1.2,1.3,0.5,1.4,0.9,2.3,2.2,0.5
New Zealand,2021,176th,18.4,1.4,1.4,2.6,3.4,2.1,1.6,0.5,1.4,0.5,1.4,1.6,0.5
Iceland,2021,177th,18.0,0.7,1.8,0.5,3.4,1.3,1.9,0.5,1.2,0.5,1.5,1.5,3.2
Norway,2021,178th,16.6,1.8,1.1,3.3,1.9,1.0,0.8,0.5,1.6,0.5,1.4,2.2,0.5
Finland,2021,179th,16.2,2.5,1.4,0.6,2.9,1.0,1.5,0.5,1.6,0.5,1.7,1.5,0.5
